signature,language,script,files,condition
shellHeader,english,Header,,
shellHeader,spanish,Encabezado de pÃ¡gina,,
shellSkipToContent,english,Skip to content,,
shellSkipToContent,spanish,Saltar al contenido,,
shellAvatarRing,english,Lessons completed,,
shellAvatarRing,spanish,Lecciones completadas,,
shellCoins,english,You have <coins> coins,,
shellCoins,spanish,Tines <coins> monedas,,
shellMyLessons,english,My Lessons,,
shellMyLessons,spanish,Mis lecciones,,
shellMyStuff,english,My Stuff,,
shellMyStuff,spanish,Mis cosas,,
shellSkipButton,english,Skip,,
shellSkipButton,spanish,Saltar,,
shellHelpButton,english,Help,,
shellHelpButton,spanish,Ayuda,,
shellPauseButton,english,Settings,,
shellPauseButton,spanish,Ajustes,,
shellExitButton,english,Quit,,
shellExitButton,spanish,Quitar,,
shellProgressModal,english,You have completed <progressNumber> lessons this week. Press escape to close this window,,
shellProgressModal,spanish,Haz completado <progressNumber> lecciones esta semana. Presiona escape para cerrar la ventana,,
shellSettingsModal,english,User settings,,
shellSettingsModal,spanish,ConfiguraciÃ³n de usuario,,
shellSettingsMusic,english,Music,,
shellSettingsMusic,spanish,MÃºsica,,
shellSettingsSfx,english,Sound,,
shellSettingsSfx,spanish,Sonido,,
shellSettingsCaptions,english,Captions,,
shellSettingsCaptions,spanish,SubtÃ­tulos,,
shellSettingsDone,english,Done,,
shellSettingsDone,spanish,Hecho,,
shellSettingsLeftArrow,english,Select previous voice,,
shellSettingsLeftArrow,spanish,Seleccionar voz anterior,,
shellSettingsVoice,english,<name> voice selected,,
shellSettingsVoice,spanish,Voz de <name> seleccionada,,
shellSettingsRightArrow,english,Select next voice,,
shellSettingsRightArrow,spanish,Seleccionar voz siguiente,,
shellDialog,english,<message>,,
shellDialog,spanish,<message>,,
shellDialogAcceptButton,english,Accept,,
shellDialogAcceptButton,spanish,Aceptar,,
shellDialogCancelButton,english,Cancel,,
shellDialogCancelButton,spanish,Cancelar,,
shellDialogPlayButton,english,Play,,
shellDialogPlayButton,spanish,Jugar,,
shellDialogExitButton,english,Exit,,
shellDialogExitButton,spanish,Salir,,
shellDialogExitGreenButton,english,Exit green,,
shellDialogExitGreenButton,spanish,Salir verde,,
shellDialogBackButton,english,Back,,
shellDialogBackButton,spanish,AtrÃ¡s,,
shellExitModal,english,Exit DreamBox,,
shellExitModal,spanish,Salir de DreamBox,,
shellExitYes,english,Confirm,,
shellExitYes,spanish,Confirmar,,
shellExitNo,english,Cancel,,
shellExitNo,spanish,Cancelar,,
shellPauseModal,english,DreamBox is paused. Press the continue button to resume,,
shellPauseModal,spanish,DreamBox se ha pausado. Presiona el botÃ³n de continuar para resumir,,
shellPauseContinue,english,Continue,,
shellPauseContinue,spanish,Continuar,,
shellFooter,english,Footer,,
shellFooter,spanish,Pie de pÃ¡gina,,
shellBackButton,english,Go Back,,
shellBackButton,spanish,Ir atrÃ¡s,,
shellKeyboardButton,english,Show keyboard,,
shellKeyboardButton,spanish,Mostrar el teclado,,
shellInfoButton,english,About DreamBox Learning,,
shellInfoButton,spanish,Acerca de DreamBox Learning,,
shellFeedbackButton,english,Messages,,
shellFeedbackButton,spanish,Mensajes,,
shellInfoModal,english,"Copyright 2024 Discovery Education, Inc. All rights reserved.",,
shellInfoModal,spanish,"Copyright 2024 Discovery Education, Inc. Todos los derechos reservados.",,
shellInfoClose,english,Go Back,,
shellInfoClose,spanish,Ir atrÃ¡s,,
shellMessageModal,english,Messages is unavailable at this time. Please close,,
shellMessageModal,spanish,Los mensajes no estan disponibles en este momento. Por favor cierra,,
shellMessageClose,english,Close messages,,
shellMessageClose,spanish,Cerrar mensajes,,
progressCorrect,english,Correct,,
progressCorrect,spanish,Correcto,,
progressIncorrect,english,Incorrect,,
progressIncorrect,spanish,Incorrecto,,
progressTryAgain,english,Try Again,,
progressTryAgain,spanish,Vuelve a intentar,,
myStuffBadgesButton,english,Badges. Teacher assistance may be needed.,,
myStuffBadgesButton,spanish,Insignias. Es posible que se necesite la ayuda del profesor.,,
myStuffBadgesScreen,english,Badges. Teacher assistance may be needed.,,
myStuffBadgesScreen,spanish,Insignias. Es posible que se necesite la ayuda del profesor.,,
myStuffStatsButton,english,Stats. Teacher assistance may be needed.,,
myStuffStatsButton,spanish,EstadÃ­sticas. Es posible que se necesite la ayuda del profesor.,,
myStuffStatsScreen,english,Stats. Teacher assistance may be needed.,,
