unique_key,english,english_gb,spanish
dbl-standard-P04A,Beginning Adding & Removing,Beginning Adding & Removing,Introducción a suma y eliminación
dbl-standard-P02A,Build 1 to 10 Optimally,Build 1 to 10 Optimally,Construir 1 al 10 óptimamente
dbl-standard-P01A,Compare 1 to 10,Compare 1 to 10,Comparar 1 al 10
dbl-standard-P04C,Doubles & Near Doubles,Doubles & Near Doubles,Dobles y casi dobles
dbl-standard-TUT-K,DreamBox Tools (K),DreamBox Tools (1),Herramientas de DreamBox (K)
dbl-standard-P02C,Identify Missing Addend,Identify Missing Addend,Identificar el sumando faltante
dbl-standard-P66D,Building Tally Charts,Building Tally Charts,Creación de gráficos de frecuencias
dbl-standard-P99,Identifying Measurable Attributes,Identifying Measurable Attributes,Identificación de atributos medibles
dbl-standard-P02D,"Identify More, Less, & Equal","Identify More, Less, & Equal","Identificar más, menos e igual"
dbl-standard-P04B,Identify Number Pairs,Identify Number Pairs,Identificar pares de números
dbl-standard-P94A,Patterning with Shapes,Patterning with Shapes,Patrones y formas
dbl-standard-P94C,Patterning with Numbers,Patterning with Numbers,Patrones y números
dbl-standard-P03A,Ordering Numbers,Ordering Numbers,Ordenamiento de números
dbl-standard-IA-K,Problem Solving (K),Problem Solving (1),Resolución de problemas (K)
dbl-standard-P02B,Build 1 to 10 From Prompt,Build 1 to 10 From Prompt,Construir 1 al 10 con una indicación
dbl-standard-P06A,Build Columns of a Hundreds Chart,Build Columns of a Hundreds Chart,Construir columnas de un gráfico de centenas
dbl-standard-P05E,Build up to 100 From Prompt,Build up to 100 From Prompt,Construir hasta el 100 con una indicación
dbl-standard-P05D,Build up to 100 Optimally,Build up to 100 Optimally,Construir hasta el 100 óptimamente
dbl-standard-P05B,Build up to 20 From Prompt,Build up to 20 From Prompt,Construir hasta el 20 con una indicación
dbl-standard-P05A,Build up to 20 Optimally,Build up to 20 Optimally,Construir hasta el 20 óptimamente
dbl-standard-P100,Measuring objects with various abstract tools,Measuring objects with various abstract tools,Medición de objetos con diversas herramientas abstractas
dbl-standard-P66E,Building Pictographs,Building Pictographs,Construcción de pictografías
dbl-standard-P64E,Using Clocks & Telling Time III,Using Clocks & Telling Time III,Uso de relojes y cómo decir la hora III
dbl-standard-P05F,Build up to 50 Optimally,Build up to 50 Optimally,Construir hasta el 50 óptimamente
dbl-standard-P06D,Comparison Symbols,Comparison Symbols,Símbolos de comparación
dbl-standard-P06B,Counting Forward & Backward,Counting Forward & Backward,Conteo hacia adelante y hacia atrás
dbl-standard-P07A,Doubling & Making 10,Doubling & Making 10,Duplicación y llegar al 10
dbl-standard-P07B,Doubling to 20,Doubling to 20,Duplicación hasta el 20
dbl-standard-TUT-1,DreamBox Tools (1),DreamBox Tools (2),Herramientas de DreamBox (1)
dbl-standard-P05C,Identify More & Less up to 100,Identify More & Less up to 100,Identificar más y menos hasta 100
dbl-standard-P08A,Identifying Number Pairs,Identifying Number Pairs,Identificación de pares de números
dbl-standard-P06C,Moving on a Hundreds Chart,Moving on a Hundreds Chart,Avance en un gráfico de centenas
dbl-standard-P06E,Place Value to 100,Place Value to 100,Valor de posición hasta el 100
dbl-standard-IA1,Rounding to the Nearest Tens Place: Numbers to 100,Rounding to the Nearest Tens Place: Numbers to 100,Redondeo a la decena más cercana: Números hasta el 100
dbl-standard-P07C,Using 10 as a Landmark,Using 10 as a Landmark,Uso del 10 como punto de referencia
dbl-standard-P90A,Partitioning Circles and Rectangles with halves and fourths.,Partitioning Circles and Rectangles with halves and quarters.,Partición de círculos y rectángulos con mitades y cuartos.
dbl-standard-P94B,Patterning with Shapes,Patterning with Shapes,Patrones y formas
dbl-standard-P94D,Patterning with Numbers,Patterning with Numbers,Patrones y números
dbl-standard-P14A,Addition & Subtraction: Landmark Numbers,Addition & Subtraction: Landmark Numbers,Suma y resta: Números de referencia
