signature_unique,english,english_gb,spanish
IA1,Rounding to the Nearest Tens Place,Rounding to the Nearest Tens Place,Redondeando al lugar de las decenas
IA2,Multiples of 10 on a Number Line,Multiples of 10 on a Number Line,Redondeando al lugar de las decenas
P01A,Comparing 1 to 10,Comparing 1 to 10,Comparación 1 - 10
P02A,Building 1 to 10,Building 1 to 10,Formación 1 - 10
P02C,Identifying Missing Addend,Identifying Missing Addend,Suma: Valores que faltan
P02D,Identifying Objects 1 to 10,Identifying Objects 1 to 10,Identificación de objetos 1 - 10
P02E,Building 1 to 10 Optimally,Building 1 to 10 Optimally,Formación óptima 1 - 10
P02F,Quick Images 1 to 10,Quick Images 1 to 10,Imágenes rápidas 1 - 10
P03A,Building Decades: Hundreds Chart,Building Decades: Hundreds Chart,Formación de décadas: Cuadro de centenas
P03B,Ordering Numbers 1 to 100,Ordering Numbers 1 to 100,Ordenar números 1 - 100
P04A,Doubles and Near Doubles,Doubles and Near Doubles,Dobles y casi dobles
P04B,Identifying Number Partners,Identifying Number Partners,Identificación de socios numéricos
P04C,Doubling 1 to 20,Doubling 1 to 20,Duplicación 1 - 20
P05A,Identifying Numbers 11 to 20,Identifying Numbers 11 to 20,Identificación de números 11 - 20
P05C,Comparing Numbers 11 to 100,Comparing Numbers 11 to 100,Comparación de números 1 - 100
P05D,Identifying Numbers 11 to 100,Identifying Numbers 11 to 100,Identificación de números 11 - 100
P05E,Identifying Tenframe 21 to 50,Identifying Tenframe 21 to 50,Identificación de grillas de diez 21 - 50
P05F,Identifying Mathrack 21 to 50,Identifying Mathsrack 21 to 50,Identificación de repisas matemáticas 21 -50
P06A,Building on a Hundreds Chart I,Building on a Hundreds Chart I,Formación en el cuadro de centenas I
P06B,Building on a Hundreds Chart II,Building on a Hundreds Chart II,Formación en el cuadro de centenas II
P06C,Moving on a Hundreds Chart,Moving on a Hundreds Chart,Moviéndose en un cuadro de centenas
P06D,Comparing and Equality 1 to 100,Comparing and Equality 1 to 100,Comparación e igualdad 1 - 100
P06E,Place Value 1 to 100,Place Value 1 to 100,Valor posicional 1 - 100
P07A,Add and Subtract: Near Doubles,Add and Subtract: Near Doubles,Sumar y restar: Casi dobles
P07B,Identifying Doubles and Near Doubles,Identifying Doubles and Near Doubles,Identificación de dobles y casi dobles
P07C,Early Adding and Subtracting,Early Adding and Subtracting,Suma y resta en educación inicial
P08A,Matching Make 10 to 100,Matching Make 10 to 100,Emparejando 10 - 100
P09A,Making Equal Groups 10 to 100,Making Equal Groups 10 to 100,Formación de grupos iguales 10-100
P09B,Comparing and Equality: Snap Blocks,Comparing and Equality: Snap Blocks,Comparación e igualdad: bloques para ensamblar
P09C,Comparing Numbers with Allie,Comparing Numbers with Allie,Comparando números con allie
P09D,Place Value to 500,Place Value to 500,Valor posicional a 500
P09E,Building Equal Groups: Snap Blocks,Building Equal Groups: Snap Blocks,Formar grupos iguales: Bloques para ensamblar
P09F,True or False: Snap Blocks,True or False: Snap Blocks,Verdadero o falso: Bloques para ensamblar
P10A,Adding and Subtracting Tens,Adding and Subtracting Tens,Suma y resta de decenas
P10B,Multiples of Ten: Hundreds Chart,Multiples of Ten: Hundreds Chart,Múltiplos de diez: Cuadro de centenas
P10C,Add and Subtract: Function Machine,Add and Subtract: Function Machine,Sumar-restar: Máquina de operaciones matemáticas
P11A,Skip Counting: Function Machine,Skip Counting: Function Machine,Contar de 2 en 2: Máquina matemática
P11B,Skip Counting: Open Number Line,Skip Counting: Open Number Line,Contar de 2 en 2: Recta numérica abierta
P11C,Hundreds Chart 101 to 500,Hundreds Chart 101 to 500,Cuadro de centenas 101 - 500
P12A,Making Multiples of 10,Making Multiples of 10,Formación de múltiplos de 10
P12B,Add and Subtract: Jump by Tens,Add and Subtract: Jump by Tens,Sumar y restar: Saltar de a decenas
P12C,Open Number Line: Negative Numbers,Open Number Line: Negative Numbers,Recta numérica abierta: Números negativos
P12D,Function Machine: Negative Numbers,Function Machine: Negative Numbers,Máquina de operaciones: Números negativos
P13B,Compensation and Splitting,Compensation and Splitting,Compensación y división
P13C,"Place Value to 1,000","Place Value to 1,000",Valor posicional a 1000
P14A,Add and Subtract: Landmark Numbers,Add and Subtract: Landmark Numbers,Sumar y restar: Números redondos
P14B,"Building and Comparing to 1,000","Building and Comparing to 1,000",Formación y comparación a 1000
P15A,Constant Difference,Constant Difference,Diferencia constante
P16A,"Place Value to 9,999","Place Value to 9,999",Valor posicional hasta 9999
P17A,Multiplication and Division Situations,Multiplication and Division Situations,Situaciones de multiplicación y división
P17B,Early Multiplication,Early Multiplication,Multiplicación para educación inicial
P18A,Multiplication: Doubling,Multiplication: Doubling,Multiplicación: Duplicar
P19A,Multiplication: Add and Remove Groups,Multiplication: Add and Remove Groups,Multiplicación: Agregar y quitar grupos
P20A,Multiplication: Double and Halve,Multiplication: Double and Halve,Multiplicación: Doble y mitad
P21A,Multiplication: Partial Products,Multiplication: Partial Products,Multiplicación: Productos parciales
P22A,Blueprints and Arrays,Blueprints and Arrays,Planos y conjuntos
P23A,Strings: Open Number Line,Strings: Open Number Line,Series: Recta numérica abierta
P23B,Strings: Snap Blocks,Strings: Snap Blocks,Series: Bloques para ensamblar
P24A,Common Multiples,Common Multiples,Múltiplos comunes
P24B,Identifying Factors,Identifying Factors,Identificación de factores
P25,Make and Compare Rods,Make and Compare Rods,Hacer y comparar fracciones
P25_video,Part of the Whole,Part of the Whole,Parte del entero
P26,Multiply and Divide: Ratio Table,Multiply and Divide: Ratio Table,Multiplicar y dividir: Tabla de proporciones
P27,Fractions on a Number Line,Fractions on a Number Line,Fracciones en una recta numérica
P28,Early Equivalency I,Early Equivalency I,Equivalencias de educación inicial I
P29,Decomposing Fractions,Decomposing Fractions,Descomposición de fracciones
