unique_english,english_gb,spanish
Send feedback,Send feedback,Enviar comentarios
About DreamBox\nLearning,About DreamBox\nLearning,Acerca de DreamBox\nLearning
Help,Help,Ayuda
Skip,Skip,Omitir
Turn background\nmusic OFF,Turn background\nmusic OFF,APAGAR la música\nde fondo
Turn background\nmusic ON,Turn background\nmusic ON,ENCENDER la música\nde fondo
Toggle sound options,Toggle sound options,Alternar opciones de sonido
Pause,Pause,Pausa
Quit,Quit,Salir
Send us your feedback,Send us your feedback,Envíanos tus comentarios
Subject:,Subject:,Asunto:
Feedback:,Feedback:,Comentario:
SEND,SEND,ENVIAR
CANCEL,CANCEL,CANCELAR
Feedback sent.\nThank you!,Feedback sent.\nThank you!,Comentario enviado.\nMuchas gracias.
Sending feedback,Sending feedback,Enviando comentario
watch,watch,observar
practice,practice,practicar
replay,replay,repetir
in progress,in progress,en curso
open,open,abrir
passed,passed,aprobado
locked,locked,bloqueado
exemplary,exemplary,ejemplar
complete,complete,completo
Choose a unit!,Choose a unit!,¡Elige una unidad!
Tutorial,Tutorial,Guía de\naprendizaje
Check In,Check In,Ingresar
Continue\nLevel,Continue\nLevel,Continuar\nnivel
Continue,Continue,Continuar
Start Level,Start Level,Nivel inicial
Start!,Start!,¡Empezar!
Level\nComplete!,Level\nComplete!,¡Nivel\ncompleto!
Tutorial\nComplete!,Tutorial\nComplete!,¡Guía\ncompleta!
Complete!,Complete!,¡Completo!
Correct!,Correct!,¡Correcto!
Oops!,Oops!,¡Uy!
Oops!\nTry Again.,Oops!\nTry Again.,¡Uy! Vuelve\na intentar.
Great effort!,Great effort!,¡Gran esfuerzo!
Good thinking!,Good thinking!,¡Bien pensado!
Good job!,Good job!,¡Buen trabajo!
You’re on a roll!,You’re on a roll!,¡Estás en racha!
Way to go!,Way to go!,¡Bien hecho!
Good work!,Good work!,¡Bravo!
Nice thinking!,Nice thinking!,¡Bien pensado!
Well done!,Well done!,¡Bien hecho!
Excellent!,Excellent!,¡Excelente!
Outstanding!,Outstanding!,¡Fantástico!
You got it!,You got it!,¡Lo lograste!
Yes!!!,Yes!!!,¡Sí!
Way to persevere!,Way to persevere!,¡Sigue adelante!
Great effort!\nYou got it!,Great effort!\nYou got it!,¡Excelente esfuerzo!
You figured it out!,You figured it out!,¡Lo resolviste!
Hard work pays off!,Hard work pays off!,¡No te des por vencido!
Way to keep going!,Way to keep going!,¡Sigue mejorando!
Nice improvement!\nKeep it up!,Nice improvement!\nKeep it up!,¡Estás mejorando!\n¡Sigue así!
Nice!\nYou worked it out!,Nice!\nYou worked it out!,¡Has progresado mucho!
Try again!,Try again!,¡Inténtalo de nuevo!
You can do this!\nTry again!,You can do this!\nTry again!,¡Inténtalo de nuevo!\n¡Tú puedes!
Not quite!\nTry again.,Not quite!\nTry again.,"¡Casi, casi!\n¡inténtalo de nuevo!"
You can get this!,You can get this!,¡Puedes lograrlo!
Almost!,Almost!,¡Casi!
Don’t give up!,Don’t give up!,¡No te rindas!
You’ve got this!\nKeep trying.,You’ve got this!\nKeep trying.,¡Casi lo logras!\n¡No te rindas!
Good effort!\nKeep trying.,Good effort!\nKeep trying.,¡Excelente esfuerzo!\nSigue intentándolo.
Give it another shot!,Give it another shot!,¡Inténtalo de nuevo!
Give it another try!,Give it another try!,¡Inténtalo otra vez!
Let’s look at this together.,Let’s look at this together.,Revisemos esto juntos.
Let’s look at this a different way.,Let’s look at this a different way.,Veamos esto de otro modo.
That’s not quite right.,That’s not quite right.,Eso no está del todo bien.
Something is a little off.,Something is a little off.,Algo no está del todo bien.
Let’s try this together.,Let’s try this together.,Resolvamos esto juntos.
Let’s try this a different way.,Let’s try this a different way.,Resolvamos esto de otro modo.
coins collected,coins collected,monedas acumuladas
badges earned,badges earned,insignias ganadas
stuff unlocked,stuff unlocked,elementos desbloqueados
CONTINUE,CONTINUE,CONTINUAR
nice work!,nice work!,¡buen\ntrabajo!
keep at it!,keep at it!,¡Sigue así!
Close,Close,Cerrar
You are here,You are here,Tú estás aquí
More lessons!,More lessons!,¡Más lecciones!
Recommended,Recommended,Recomendado
Locked lesson,Locked lesson,Lección bloqueada
Locked placement,Locked placement,Colocación bloqueada
Placement,Placement,Colocación
Placement passed,Placement passed,Colocación aprobada
Open for play,Open for play,Habilitado para jugar
In progress,In progress,En curso
Complete,Complete,Completo
Exemplary,Exemplary,Ejemplar
DreamBox is paused.,DreamBox is paused.,DreamBox está en pausa.
Press to start.,Press to start.,Pulsa para empezar.
continue,continue,continuar
exit,exit,salir
resume,resume,continuar
Do you want to quit?,Do you want to quit?,¿Deseas salir?
Do you want to quit DreamBox?,Do you want to quit DreamBox?,¿Deseas salir de DreamBox?
yes,yes,sí
no,no,no
Are you sure you want to leave? You may lose your progress.,Are you sure you want to leave? You may lose your progress.,¿Estás seguro de que quieres salir? Puedes perder lo hecho.
Do not show me this warning again.,Do not show me this warning again.,No volver a mostrar esta advertencia.
Do you want to leave this lesson?,Do you want to leave this lesson?,¿Quieres salir de esta lección?
Completed a tutorial,Completed a tutorial,Se completó una guía de aprendizaje
First level passed,First level passed,Se aprobó el primer nivel
